"","punk","bid","bid_withdrawn","offer","offer_withdrawn","transfer","unwrap","wrap","largest_bid","sold_price","sold_date","last_sold_price"
"1",1,3,0,2,0,3,0,0,"265","177275",2022-04-20,"55"
"2",1,0,0,4,2,0,0,0,NA,"55",2017-08-12,"72"
"3",1,0,0,3,0,0,0,0,NA,"72",2017-07-20,"58"
"4",1,2,0,0,0,0,0,0,"58","58",2017-07-19,"NA"
"5",2,1,0,1,0,0,0,0,"181219","181899",2022-04-20,"180524"
"6",2,1,1,8,1,4,0,0,"147767","180524",2022-03-09,"76034"
"7",2,0,0,13,0,0,0,0,NA,"76034",2021-05-03,"44201"
"8",2,1,1,3,0,0,0,0,"33168","44201",2021-03-13,"41984"
"9",2,0,0,1,0,1,0,0,NA,"41984",2021-03-11,"NA"
"10",3,0,0,4,0,0,0,0,NA,"212730",2022-04-20,"186497"
"11",3,0,0,3,0,0,0,0,NA,"186497",2022-03-18,"171379"
"12",3,0,0,1,0,0,0,0,NA,"171379",2022-03-10,"172913"
"13",3,0,0,3,0,0,0,0,NA,"172913",2022-03-09,"410275"
"14",3,0,0,1,0,0,0,0,NA,"410275",2021-10-02,"40364"
"15",3,0,0,1,0,0,0,0,NA,"40364",2021-07-16,"45760"
"16",3,0,0,1,0,0,0,0,NA,"45760",2021-02-23,"NA"
"17",4,0,1,4,0,0,0,0,NA,"203481",2022-04-20,"196649"
"18",4,1,0,1,0,1,0,0,"182463","196649",2022-03-18,"51463"
"19",4,0,0,2,1,1,0,0,NA,"51463",2021-04-14,"NA"
"20",5,1,0,3,0,3,0,0,"198315","215006",2022-04-20,"NA"
"21",6,5,3,3,0,3,0,0,"64","215006",2022-04-20,"NA"
"22",7,3,1,2,0,3,0,0,"59","189162",2022-04-20,"NA"
"23",8,3,1,3,0,3,0,0,"64","195264",2022-04-20,"NA"
"24",9,0,0,1,0,0,0,0,NA,"0",2022-04-20,"0"
"25",9,0,0,1,0,1,0,0,NA,"0",2022-04-20,"170856"
"26",9,2,0,1,0,3,0,0,"170856","170856",2022-04-20,"58"
"27",9,0,0,1,0,0,0,0,NA,"58",2017-07-19,"NA"
"28",10,0,0,3,0,1,0,0,NA,"244955",2022-04-20,"279816"
"29",10,0,0,18,2,2,0,0,NA,"279816",2022-04-01,"250097"
"30",10,5,4,1,0,0,0,0,"39573","250097",2022-01-25,"NA"
"31",11,0,0,1,0,1,0,0,NA,"187953",2022-04-20,"180130"
"32",11,2,1,1,0,0,0,0,"186564","180130",2022-03-13,"204951"
"33",11,0,0,1,0,0,0,0,NA,"204951",2022-03-02,"41248"
"34",11,0,0,1,0,0,0,0,NA,"41248",2021-02-22,"NA"
"35",12,2,1,7,0,1,0,0,"264098","277209",2022-04-20,"257972"
"36",12,0,0,3,0,0,0,0,NA,"257972",2022-03-12,"369244"
"37",12,2,3,6,0,1,0,0,"284291","369244",2021-12-24,"316105"
"38",12,1,0,1,0,0,0,0,"280595","316105",2021-12-15,"52064"
